"","model","measure","purpose","alpha","beta","equation","r.squared"
"1","Walk-bike","time","NHB",1.00420487500521,-0.113978943931582,"p = 1.004e^(-0.114t)",0.983240478373825
"2","Walk-bike","time","HBNW",1.03388757156621,-0.0809043536399137,"p = 1.034e^(-0.081t)",0.982288777466466
"3","Walk-bike","time","HBW",1.15574414689683,-0.0640155506905059,"p = 1.156e^(-0.064t)",0.986052129611183
"4","HOV","time","NHB",1.08924119766814,-0.0651817997446321,"p = 1.089e^(-0.065t)",0.994493549788171
"5","HOV","time","HBNW",1.18196663054623,-0.0725026238313327,"p = 1.182e^(-0.073t)",0.989261461653888
"6","HOV","time","HBW",1.16603693228361,-0.0480549368471298,"p = 1.166e^(-0.048t)",0.992886232203943
"7","SOV","time","HBW",1.28149379282969,-0.0442285884047273,"p = 1.281e^(-0.044t)",0.981970265951289
"8","SOV","time","NHB",1.03773685639978,-0.0590363741972367,"p = 1.038e^(-0.059t)",0.99478772261174
"9","SOV","time","HBNW",1.14744045097613,-0.0780054885690527,"p = 1.147e^(-0.078t)",0.985897932695074
"10","WAT","gc","NHB",44.2923216761775,-0.253332295797008,"p = 1 / 1+e^(-(44.292+-0.253t))",NA
"11","WAT","gc","HBNW",53.3652281105317,-0.239260867746872,"p = 1 / 1+e^(-(53.365+-0.239t))",NA
"12","WAT","gc","HBW",57.2553268796661,-0.201108194251811,"p = 1 / 1+e^(-(57.255+-0.201t))",NA
"13","WAT","time","NHB",27.2306438651648,-0.0755036851119254,"p = 1 / 1+e^(-(27.231+-0.076t))",NA
"14","WAT","time","HBNW",33.1255761204443,-0.0717252032019026,"p = 1 / 1+e^(-(33.126+-0.072t))",NA
"15","WAT","time","HBW",97.5822357752298,-0.0854179009606727,"p = 1 / 1+e^(-(97.582+-0.085t))",NA
"16","DAT","gc","HBW",46.1091347647514,-0.113079676070393,"p = 1 / 1+e^(-(46.109+-0.113t))",NA
"17","DAT","gc","HBNW",33.4944089871572,-0.117630142206366,"p = 1 / 1+e^(-(33.494+-0.118t))",NA
"18","DAT","gc","NHB",22.6987112224122,-0.102166426425798,"p = 1 / 1+e^(-(22.699+-0.102t))",NA
"19","DAT","time","HBW",246.387051723672,-0.072017251715888,"p = 1 / 1+e^(-(246.387+-0.072t))",NA
"20","DAT","time","HBNW",25.5613424284475,-0.0374895994386369,"p = 1 / 1+e^(-(25.561+-0.037t))",NA
"21","DAT","time","NHB",90.2597127147165,-0.0621814057866567,"p = 1 / 1+e^(-(90.26+-0.062t))",NA
